Diameter of Largest Included Sphere (A),Diameter of Largest Free Sphere (A),Diameter of Largest Included Sphere Along Free Sphere Path (A),Unit Cell Volume (A^3),Density (g/cm^3),AV per unit cell (A^3),AV Void Fraction,AV per mass (cm^3/g),NAV per unit cell (A^3),NAV Void Fraction,NAV per mass (cm^3/g),ASA per unit cell (A^2),ASA (m^2/cm^3),ASA per mass (m^2/g),NASA per unit cell (A^2),NASA (m^2/cm^3),NASA per mass (m^2/g),y
44.51678,28.73326,44.26627,250236,0.323176,192156,0.7679,2.37611,0,0,0,26380.8,1054.24,3262.11,0,0,0,0
38.42779,27.44071,37.57379,209336,0.420273,153267,0.73216,1.7421,0,0,0,23494.8,1122.35,2670.52,0,0,0,0
38.3914,27.55943,38.3914,210093,0.391501,153918,0.73262,1.87131,0,0,0,23602.1,1123.41,2869.5,0,0,0,0
38.12234,27.17725,36.45477,205471,0.396677,150536,0.73264,1.84694,0,0,0,23361,1136.95,2866.18,0,0,0,0
39.16074,27.53171,38.76305,212873,0.373902,158075,0.74258,1.98603,0,0,0,23717.2,1114.15,2979.79,0,0,0,0
36.73439,27.13133,36.73439,192335,0.406913,140001,0.7279,1.78883,0,0,0,22561.2,1173.02,2882.72,0,0,0,0
37.62345,27.33324,36.86925,201444,0.388248,148540,0.73738,1.89925,0,0,0,23138.6,1148.64,2958.52,0,0,0,0
45.19611,27.85037,44.34202,247035,0.333181,188122,0.76152,2.28561,0,0,0,25709.2,1040.71,3123.56,0,0,0,0
45.28125,26.80139,45.14861,236218,0.348212,177966,0.7534,2.16363,0,0,0,25320.1,1071.9,3078.29,0,0,0,0
45.28125,26.80139,45.14861,236218,0.348212,177966,0.7534,2.16363,0,0,0,25320.1,1071.9,3078.29,0,0,0,0
46.43748,28.22584,46.43748,252027,0.326369,192589,0.76416,2.3414,0,0,0,26084.4,1034.99,3171.21,0,0,0,0
42.53539,27.37204,41.86012,230327,0.390749,171193,0.74326,1.90214,0,0,0,25200.3,1094.11,2800.03,0.0329497,0.00143056,0.00366107,0
42.45607,27.52655,42.00291,232411,0.382261,172240,0.7411,1.93873,0,0,0,25406.2,1093.15,2859.71,0.098849,0.00425319,0.0111264,0
43.02958,28.38802,41.77139,238613,0.348288,179361,0.75168,2.15821,0,0,0,25495.2,1068.47,3067.79,0,0,0,0
42.08278,27.23076,40.88535,229380,0.367397,170924,0.74516,2.02821,0,0,0,24923.6,1086.56,2957.46,0,0,0,0
42.28759,27.93292,42.28759,235515,0.354659,177380,0.75316,2.12362,0,0,0,25255,1072.33,3023.56,0.0447922,0.00190189,0.00536258,0
42.55841,27.67467,42.49659,233508,0.356353,175061,0.7497,2.10381,0,0,0,25318.6,1084.27,3042.69,0,0,0,0
43.35901,27.57139,43.35901,235021,0.367616,174635,0.74306,2.02129,0,0,0,25549.5,1087.12,2957.2,0,0,0,0
42.91925,27.67971,42.91925,233407,0.356954,175574,0.75222,2.10733,0,0,0,24985.6,1070.47,2998.91,0,0,0,0
42.45299,28.10573,41.06808,235736,0.360671,176882,0.75034,2.0804,0,0,0,25329.1,1074.47,2979.08,0,0,0,0
48.93795,28.83899,48.93795,270853,0.30604,209987,0.77528,2.53326,0,0,0,26899.4,993.136,3245.12,0,0,0,0
49.27982,29.59614,49.27982,280005,0.296038,217877,0.77812,2.62845,0,0,0,28281.2,1010.03,3411.81,0,0,0,0
42.62789,27.76226,42.62789,234116,0.420239,173574,0.7414,1.76423,0,0,0,25334.5,1082.14,2575.05,0,0,0,0
42.4686,27.5576,40.90744,232958,0.373163,171709,0.73708,1.97522,0,0,0,25834.1,1108.96,2971.79,0,0,0,0
42.0546,27.78474,41.32219,233459,0.365972,174987,0.74954,2.04808,0,0,0,25283.4,1082.99,2959.22,0,0,0,0
43.02625,28.13817,43.02625,237126,0.344187,179931,0.7588,2.20462,0,0,0,25206.5,1063,3088.45,0,0,0,0
